City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Malanje,AO,87.71,clear sky,-9.5402,16.340999999999998,Malanje Hotel
1,Kavaratti,IN,82.62,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
5,Pathein,MM,79.03,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
6,Nicoya,CR,87.35,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
11,Shimoda,JP,77.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
16,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
20,Cabo San Lucas,MX,88.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Vavoua,CI,83.57,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
25,Faanui,PF,78.85,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Mangrol,IN,82.24,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
32,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Qui Nhon,VN,85.28,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
42,Meghradzor,AM,80.62,broken clouds,40.6061,44.6515,Homestay My Second Family
43,Vila Franca Do Campo,PT,77.41,clear sky,37.7167,-25.4333,Pestana Bahia Praia
45,Zuwarah,LY,87.85,clear sky,32.9312,12.082,يوسف
46,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
48,Pandan,PH,83.89,overcast clouds,14.0453,124.1694,Bonifacio Lodge
51,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
52,Victoria,HK,84.18,light rain,22.2855,114.1577,Mini Hotel Central
55,Tongren,CN,79.25,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
56,Riberalta,BO,88.0,smoke,-10.9833,-66.1,Hotel Colonial
61,Digras,IN,79.66,overcast clouds,20.1167,77.7167,Swad Restaurant
64,Dumas,US,81.66,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
65,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
