City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Malanje,AO,-9.5402,16.341,87.71,12,0,2.75,clear sky
1,Kavaratti,IN,10.5669,72.642,82.62,82,100,16.75,overcast clouds
2,Bonavista,CA,48.6499,-53.1147,64.18,61,43,3.13,scattered clouds
3,Tiksi,RU,71.6872,128.8694,39.96,91,53,8.68,broken clouds
4,New Norfolk,AU,-42.7826,147.0587,53.1,65,100,5.01,overcast clouds
5,Pathein,MM,16.7833,94.7333,79.03,90,100,10.29,overcast clouds
6,Nicoya,CR,10.1483,-85.452,87.35,71,47,3.2,scattered clouds
7,Ucluelet,CA,48.9329,-125.5528,71.04,93,100,3.44,overcast clouds
8,Sribne,UA,50.6638,32.9187,68.79,81,98,3.51,overcast clouds
9,Yellowknife,CA,62.456,-114.3525,58.32,76,96,2.33,overcast clouds
10,Atagay,RU,55.1033,99.3875,61.43,90,98,2.24,overcast clouds
11,Shimoda,JP,34.6667,138.95,77.11,86,18,8.68,few clouds
12,Qaanaaq,GL,77.484,-69.3632,46.2,59,17,3.29,few clouds
13,Bluff,NZ,-46.6,168.3333,33.8,84,57,4.68,broken clouds
14,Iqaluit,CA,63.7506,-68.5145,44.33,75,90,5.99,light rain
15,Umm Lajj,SA,25.0213,37.2685,94.95,46,1,7.49,clear sky
16,Ribeira Grande,PT,38.5167,-28.7,79.2,73,40,16.11,scattered clouds
17,Mirnyy,RU,62.5353,113.9611,58.82,87,100,2.42,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,51.91,54,90,17.27,light intensity shower rain
19,Nyzhnya Duvanka,UA,49.5846,38.1743,80.02,40,100,5.08,overcast clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,88.61,61,75,11.5,broken clouds
21,Uyskoye,RU,54.3775,60.0047,66.38,83,93,8.1,overcast clouds
22,Vavoua,CI,7.3819,-6.4778,83.57,58,88,6.53,overcast clouds
23,Aswan,EG,24.0934,32.907,107.02,10,28,9.91,scattered clouds
24,Busselton,AU,-33.65,115.3333,45.09,84,0,6.6,clear sky
25,Faanui,PF,-16.4833,-151.75,78.85,71,26,10.22,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,59.29,94,96,3.96,overcast clouds
27,Hobart,AU,-42.8794,147.3294,53.46,65,40,4.0,scattered clouds
28,Mangrol,IN,21.1167,70.1167,82.24,81,100,16.06,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,70,5.01,broken clouds
30,Vaini,TO,-21.2,-175.2,60.96,100,75,1.14,broken clouds
31,Barrow,US,71.2906,-156.7887,44.62,95,90,14.97,haze
32,Kapaa,US,22.0752,-159.319,79.12,78,40,5.01,light rain
33,Qui Nhon,VN,13.7667,109.2333,85.28,68,100,13.13,overcast clouds
34,Nakamura,JP,32.9833,132.9333,74.34,96,33,3.76,scattered clouds
35,Sinegorskiy,RU,48.0139,40.8447,86.94,42,69,8.32,broken clouds
36,Prince Rupert,CA,54.3161,-130.3201,57.97,91,98,1.81,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,57.79,68,98,6.35,overcast clouds
38,Ushuaia,AR,-54.8,-68.3,49.66,53,75,6.91,light intensity drizzle
39,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,40,6.91,scattered clouds
40,Hilo,US,19.7297,-155.09,72.63,81,3,5.99,clear sky
41,Rikitea,PF,-23.1203,-134.9692,73.62,73,38,17.31,scattered clouds
42,Meghradzor,AM,40.6061,44.6515,80.62,69,75,1.77,broken clouds
43,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,60,3,8.1,clear sky
44,Codrington,AU,-38.2667,141.9667,51.13,78,100,10.27,overcast clouds
45,Zuwarah,LY,32.9312,12.082,87.85,62,0,13.2,clear sky
46,Kahului,US,20.8947,-156.47,75.85,84,40,14.97,light rain
47,Cape Town,ZA,-33.9258,18.4232,63.27,70,1,3.0,clear sky
48,Pandan,PH,14.0453,124.1694,83.89,70,92,14.14,overcast clouds
49,Bollnas,SE,61.3482,16.3946,73.38,43,84,5.55,broken clouds
50,Cherskiy,RU,68.75,161.3,40.51,93,80,11.12,broken clouds
51,Ixtapa,MX,20.7,-105.2,86.23,77,100,1.54,overcast clouds
52,Victoria,HK,22.2855,114.1577,84.18,95,100,1.01,light rain
53,Port Elizabeth,ZA,-33.918,25.5701,63.1,91,100,12.59,overcast clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,54.36,61,99,11.48,overcast clouds
55,Tongren,CN,27.7172,109.1853,79.25,83,61,3.18,broken clouds
56,Riberalta,BO,-10.9833,-66.1,88.0,37,8,13.8,smoke
57,Vestmanna,FO,62.1564,-7.1664,54.52,100,90,3.44,overcast clouds
58,Castro,BR,-24.7911,-50.0119,63.36,59,100,10.0,overcast clouds
59,Kaitangata,NZ,-46.2817,169.8464,38.16,95,79,4.07,broken clouds
60,Albany,US,42.6001,-73.9662,77.67,66,14,1.01,few clouds
61,Digras,IN,20.1167,77.7167,79.66,75,100,5.73,overcast clouds
62,Puerto Escondido,MX,15.85,-97.0667,90.43,62,1,0.0,clear sky
63,Rawah,IQ,34.4816,41.9093,106.79,12,62,10.29,broken clouds
64,Dumas,US,35.8656,-101.9732,81.66,46,1,14.97,clear sky
65,Georgetown,MY,5.4112,100.3354,83.89,77,20,0.0,few clouds
66,Mataura,NZ,-46.1927,168.8643,33.48,98,65,1.88,broken clouds
67,Cayenne,GF,4.9333,-52.3333,89.64,71,20,1.99,few clouds
68,Provideniya,RU,64.3833,-173.3,48.27,87,97,7.29,overcast clouds
69,Bosaso,SO,11.2842,49.1816,89.6,55,12,3.98,few clouds
70,Mecca,SA,21.4267,39.8261,99.05,25,57,12.12,broken clouds
71,Nioki,CD,-2.7167,17.6833,98.96,18,6,1.36,clear sky
72,Narsaq,GL,60.9167,-46.05,57.42,71,100,5.44,overcast clouds
73,Tasiilaq,GL,65.6145,-37.6368,51.96,75,28,1.88,scattered clouds
74,Wattegama,LK,6.7989,81.4808,79.72,70,100,8.61,overcast clouds
75,Igboho,NG,8.8333,3.75,71.65,94,98,8.43,light rain
76,Zaqatala,AZ,41.6336,46.6433,82.87,39,20,11.5,few clouds
77,Juneau,US,58.3019,-134.4197,59.85,98,90,3.44,light rain
78,Hermanus,ZA,-34.4187,19.2345,59.81,82,42,13.18,scattered clouds
79,Montceau-Les-Mines,FR,46.6667,4.3667,75.36,51,75,5.73,broken clouds
80,Pinega,RU,64.7001,43.3936,50.05,90,100,5.39,overcast clouds
81,Santiago,CL,-33.4569,-70.6483,54.84,66,75,2.3,haze
82,Butaritari,KI,3.0707,172.7902,82.98,67,15,10.13,few clouds
83,Mar Del Plata,AR,-38.0023,-57.5575,60.1,58,0,7.0,clear sky
84,Nizhniy Kuranakh,RU,58.8353,125.4869,59.47,80,100,3.91,overcast clouds
85,Lazaro Cardenas,MX,17.9583,-102.2,76.35,92,100,5.23,overcast clouds
86,Pacific Grove,US,36.6177,-121.9166,63.01,93,90,1.99,overcast clouds
87,Fortuna,US,40.5982,-124.1573,59.41,75,90,3.44,overcast clouds
88,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,71,16.71,broken clouds
89,Abha,SA,18.2164,42.5053,64.65,82,75,8.05,thunderstorm
