City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-08-01 00:03:33,-53.15,-70.9167,277.1,64,100,5.23
1,Tuatapere,NZ,2021-08-01 00:07:12,-46.1333,167.6833,283.05,95,100,0.37
2,Mathbaria,BD,2021-08-01 00:07:12,22.2876,89.9593,299.91,90,99,2.11
3,Ati,TD,2021-08-01 00:07:13,13.2154,18.3353,298.83,78,83,3.52
4,Carnarvon,AU,2021-08-01 00:07:13,-24.8667,113.6333,286.19,59,90,2.57
5,Kavieng,PG,2021-08-01 00:07:13,-2.5744,150.7967,301.81,67,28,1.73
6,Dudinka,RU,2021-08-01 00:07:14,69.4058,86.1778,284.76,86,69,6.76
7,Mataura,NZ,2021-08-01 00:07:14,-46.1927,168.8643,282.86,100,100,0.32
8,Alice Springs,AU,2021-08-01 00:04:44,-23.7,133.8833,289.9,55,0,5.14
9,Mahebourg,MU,2021-08-01 00:07:15,-20.4081,57.7,293.85,74,9,7.03
10,Khatanga,RU,2021-08-01 00:04:12,71.9667,102.5,292.41,66,84,3.88
11,Maues,BR,2021-08-01 00:07:15,-3.3836,-57.7186,301.0,62,96,2.06
12,Tuktoyaktuk,CA,2021-08-01 00:07:15,69.4541,-133.0374,284.15,87,100,4.59
13,Tukrah,LY,2021-08-01 00:07:16,32.5341,20.5791,300.05,61,0,0.77
14,Vaini,TO,2021-08-01 00:07:16,-21.2,-175.2,296.32,75,100,12.01
15,Olafsvik,IS,2021-08-01 00:06:16,64.8945,-23.7142,285.43,94,92,3.34
16,Vardo,NO,2021-08-01 00:07:16,70.3705,31.1107,282.12,92,99,4.99
17,Port Hedland,AU,2021-08-01 00:07:17,-20.3167,118.5667,291.18,48,3,3.6
18,Sulangan,PH,2021-08-01 00:07:17,11.1373,123.7228,301.88,77,53,5.13
19,Victoria,HK,2021-08-01 00:03:54,22.2855,114.1577,303.36,89,99,2.24
20,Albany,US,2021-08-01 00:05:06,42.6001,-73.9662,292.51,69,31,0.45
21,New Norfolk,AU,2021-08-01 00:04:07,-42.7826,147.0587,282.55,51,11,3.33
22,Ushuaia,AR,2021-08-01 00:03:53,-54.8,-68.3,275.22,89,100,5.7
23,Wasilla,US,2021-08-01 00:07:18,61.5814,-149.4394,296.64,51,1,2.06
24,Busselton,AU,2021-08-01 00:04:07,-33.65,115.3333,280.42,73,91,12.32
25,Manubul,PH,2021-08-01 00:07:18,5.4732,120.7986,302.04,72,62,4.0
26,Nikolskoye,RU,2021-08-01 00:07:19,59.7035,30.7861,289.71,98,44,2.4
27,Wageningen,NL,2021-08-01 00:07:19,51.9667,5.6667,289.36,91,8,2.76
28,Sterling,US,2021-08-01 00:07:19,39.0062,-77.4286,299.06,67,90,3.6
29,Puerto Ayora,EC,2021-08-01 00:04:44,-0.7393,-90.3518,295.12,89,43,2.68
30,Georgetown,MY,2021-08-01 00:07:20,5.4112,100.3354,299.11,92,40,1.54
31,Barrow,US,2021-08-01 00:07:20,71.2906,-156.7887,282.16,95,90,9.26
32,Castro,BR,2021-08-01 00:07:20,-24.7911,-50.0119,281.38,81,99,2.85
33,Provideniya,RU,2021-08-01 00:07:21,64.3833,-173.3,281.39,76,92,2.64
34,Husavik,IS,2021-08-01 00:07:21,66.0449,-17.3389,285.19,72,88,1.26
35,Puerto Carreno,CO,2021-08-01 00:07:21,6.189,-67.4859,297.09,92,88,1.46
36,Bredasdorp,ZA,2021-08-01 00:04:39,-34.5322,20.0403,284.97,89,100,2.3
37,Rikitea,PF,2021-08-01 00:07:22,-23.1203,-134.9692,294.49,71,23,4.86
38,Port Lincoln,AU,2021-08-01 00:05:53,-34.7333,135.8667,285.02,74,2,4.51
39,Rio Branco,BR,2021-08-01 00:07:23,-9.9747,-67.81,296.52,37,22,0.96
40,East London,ZA,2021-08-01 00:07:23,-33.0153,27.9116,292.32,24,96,2.97
41,Arraial Do Cabo,BR,2021-08-01 00:04:17,-22.9661,-42.0278,292.27,64,96,6.29
42,Hobart,AU,2021-08-01 00:02:31,-42.8794,147.3294,282.74,69,75,1.34
43,Freeport,US,2021-08-01 00:03:11,40.6576,-73.5832,298.14,68,1,0.89
44,Krasnoselkup,RU,2021-08-01 00:07:24,65.7,82.4667,285.09,70,37,3.03
45,Santa Catarina De Tepehuanes,MX,2021-08-01 00:07:24,25.35,-105.7333,298.63,46,75,5.7
46,Samarai,PG,2021-08-01 00:07:25,-10.6167,150.6667,298.98,64,84,6.24
47,Sinjai,ID,2021-08-01 00:07:18,-5.1241,120.253,299.06,81,85,1.7
48,Yellowknife,CA,2021-08-01 00:07:25,62.456,-114.3525,301.64,45,19,1.34
49,Mehamn,NO,2021-08-01 00:07:25,71.0357,27.8492,281.06,96,100,4.58
50,Mount Gambier,AU,2021-08-01 00:07:26,-37.8333,140.7667,282.75,84,11,3.31
51,Jamestown,US,2021-08-01 00:04:34,42.097,-79.2353,293.77,72,1,0.63
52,Clyde River,CA,2021-08-01 00:07:26,70.4692,-68.5914,276.95,88,100,1.53
